Ticker,Nama,Sektor,Industri,Periode,Basis,MataUang,Diperbarui,Saham,EPS,BVPS,DPS,Omzet,LabaBersih,EBITDA,EBIT,MarginKotor%,MarginOperasi%,MarginBersih%,ROE%,ROA%,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,DER,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,OCF,Capex,FCF,OCF/Laba,Payout%,OmzetYoY%,LabaYoY%,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%
ACES,Aspirasi Hidup Indonesia Tbk,Consumer Cyclical,Specialty Retail,2026-06-30,TTM-gabungan,IDR,2026-08-10,17120389700.0,44.7514,371.7251,32.01,8908461631750.0,766162246072.0,1621458585540.0,1014150493932.0,47.65,7.2,8.6,11.8,8.87,988865868411.0,1166703195453.0,-177837327042.0,8826928053044.0,6364078418614.0,0.16,-0.11,4.94,2.28,11.96,1228204293854.0,-191704862144.0,1036499431710.0,1.6,71.71,2.3,60.2,8.5,0.2,2.0,-0.17
ADRO,Alamtri Resources Indonesia ,Energy,Thermal Coal,2026-03-31,TTM-gabungan,USD,2026-08-10,28800494200.0,307.8807,3019.9494,236.52,34869390710000.0,8867115510000.0,12433687970000.0,12358630845000.0,35.91,30.38,25.43,10.16,7.19,18823172225000.0,20581622985000.0,-1758450760000.0,127648311230000.0,86976036565000.0,0.22,-0.14,4.32,4.1,79.15,12584104225000.0,-14299048500000.0,-1714944275000.0,1.42,110.35,119.8,-35.0,-38.6,-43.6,0.0,-4.78
AKRA,AKR Corporindo Tbk,Energy,Oil & Gas Refining & Marketing,2026-06-30,TTM-gabungan,IDR,2026-08-10,19799769600.0,137.544,654.4711,100.0,55443442886000.0,2723338865000.0,3691958523000.0,3640446573000.0,7.99,5.93,4.91,21.7,7.57,5454476951000.0,8866238987000.0,875908678000.0,39295481702000.0,12958376732000.0,0.42,0.24,1.33,1.04,51.78,7757177689000.0,-1002622794000.0,6754554895000.0,2.85,72.6,74.6,37.0,-1.1,1.0,2.0,0.24
AMMN,Amman Mineral Internasional ,Basic Materials,Other Precious Metals & Mining,2026-03-31,TTM-gabungan,USD,2026-08-10,72412413856.0,134.4195,1345.9278,,47118269385000.0,9733638915000.0,20810684895000.0,20810684895000.0,46.58,41.13,20.66,10.29,4.36,115053086115000.0,14470853815000.0,100582232300000.0,248888858020000.0,97461881110000.0,1.18,4.83,2.62,1.64,2.72,12701975000.0,-20019254145000.0,-20006552170000.0,0.0,0.0,377.9,299.7,-13.3,-38.9,1.0,-0.15
AMRT,Sumber Alfaria Trijaya Tbk,Consumer Defensive,Grocery Stores,2026-06-30,TTM-gabungan,IDR,2026-08-10,41091832700.0,86.4454,433.1946,41.5,130880167000000.0,3552199000000.0,9510989000000.0,4846546000000.0,22.1,2.67,2.71,20.22,7.96,2703086000000.0,4097782000000.0,-1394696000000.0,42788957000000.0,17800758000000.0,0.15,-0.15,1.04,0.39,28.53,8190841000000.0,-4896958000000.0,3293883000000.0,2.31,48.24,-0.2,-2.6,9.4,6.1,2.0,-1.04
ANTM,ANTAM (Persero) Tbk.,Basic Materials,Gold,2026-03-31,TTM-gabungan,IDR,2026-08-10,24030764724.0,353.0653,1616.5529,209.99,87814076000000.0,8484428000000.0,11897150000000.0,11726483000000.0,17.84,9.98,9.66,24.14,15.74,8731397000000.0,9038508000000.0,-307111000000.0,63295662000000.0,38847003000000.0,0.22,-0.03,1.98,0.97,89.02,-382963000000.0,-511986000000.0,-894949000000.0,-0.05,42.99,12.8,135.6,22.6,23.6,2.0,0.0
ARTO,Bank Jago Tbk.,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-08-10,13861330900.0,24.4013,651.1965,,2884200000000.0,338235000000.0,,,,,11.73,3.84,0.92,1829377000000.0,5268771000000.0,-3439394000000.0,41422771000000.0,9026450000000.0,0.2,,,,,4248301000000.0,-679777000000.0,3568524000000.0,12.56,0.0,28.9,71.4,23.5,158.9,3.0,0.0
ASII,Astra International Tbk,Industrials,Conglomerates,2026-06-30,TTM-gabungan,IDR,2026-08-10,39920061040.0,746.1662,5763.2176,390.0,318448000000000.0,29787000000000.0,45726000000000.0,45726000000000.0,21.69,10.65,9.35,13.2,5.9,119198000000000.0,46150000000000.0,71111000000000.0,514517000000000.0,230068000000000.0,0.52,1.56,1.19,0.95,12.32,37806000000000.0,-13909000000000.0,23897000000000.0,1.27,52.7,-4.9,-3.6,2.4,4.2,2.0,-1.39
BBCA,Bank Central Asia Tbk,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-08-10,122841751300.0,472.6025,2201.5116,356.0,114998536000000.0,58055319000000.0,,,,,50.48,22.47,3.63,2187729000000.0,95713174000000.0,-93525445000000.0,1660579336000000.0,270437543000000.0,0.01,,,,,68847541000000.0,-3073189000000.0,65774352000000.0,1.19,75.42,4.4,5.0,8.5,12.2,3.0,-0.35
BBNI,Bank Negara Indonesia  (Pers,Financial Services,Banks - Regional,2026-03-31,TTM-gabungan,IDR,2026-08-10,37256798316.0,545.4305,4331.5774,349.41,59278587000000.0,20320994000000.0,,,,,34.28,12.57,1.59,63538592000000.0,201962505000000.0,-138423913000000.0,1426757735000000.0,161380707000000.0,0.39,,,,,131012984000000.0,-3462659000000.0,127550325000000.0,6.45,132.75,11.5,9.8,0.8,3.1,2.0,0.0
BBRI,Bank Rakyat Indonesia (Perse,Financial Services,Banks - Regional,2026-03-31,TTM-gabungan,IDR,2026-08-10,150574927704.0,388.6673,2246.0813,418.0,191720211000000.0,58523545000000.0,,,,,30.53,17.86,2.76,206869633000000.0,181084610000000.0,25434090000000.0,2249833632000000.0,338203528000000.0,0.61,,,,,-8726810000000.0,-5106725000000.0,-13833535000000.0,-0.15,88.79,15.2,2.7,6.7,3.5,1.0,-0.05
BBTN,Bank Tabungan Negara (Perser,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-08-10,14034444413.0,299.0483,2676.1136,53.57,20386482000000.0,4196977000000.0,,,,,20.59,11.81,0.83,61379379000000.0,27385200000000.0,33777535000000.0,545161326000000.0,37557768000000.0,1.63,,,,,-17029561000000.0,-1853416000000.0,-18882977000000.0,-4.06,0.0,8.8,43.2,9.4,4.8,2.0,0.0
BMRI,Bank Mandiri (Persero) Tbk,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-08-10,92973333332.0,669.5596,3061.0218,476.96,138319198000000.0,62251187000000.0,,,,,45.01,23.11,2.49,225867427000000.0,270161458000000.0,-44294031000000.0,2527568193000000.0,284593401000000.0,0.79,,,,,6171549000000.0,-6549172000000.0,-377623000000.0,0.1,71.47,-5.3,13.9,6.6,11.0,3.0,-0.39
BRIS,Bank Syariah Indonesia (Pers,Financial Services,Banks - Regional,2026-03-31,TTM-gabungan,IDR,2026-08-10,46129260138.0,171.0156,1100.5845,32.81,25009100000000.0,7888825000000.0,,,,,31.54,16.47,1.82,10578378000000.0,62326078000000.0,-51747700000000.0,460131020000000.0,50769149000000.0,0.21,,,,,14619868000000.0,-2736093000000.0,11883775000000.0,1.85,13.33,16.9,15.9,10.6,21.1,3.0,0.0
BRPT,Barito Pacific Tbk.,Basic Materials,Chemicals,2026-06-30,TTM-gabungan,USD,2026-08-10,93711740929.0,26.6286,461.3533,1.63,179213231175000.0,2495414020000.0,26094226840000.0,17549386195000.0,15.68,5.95,1.39,6.74,0.94,152279963385000.0,56524534880000.0,87797223690000.0,336679082300000.0,43234218610000.0,3.52,3.36,2.18,1.55,2.12,5160519320000.0,-18232805745000.0,-13072286425000.0,2.07,6.07,302.7,518.9,37.1,553.0,3.0,0.0
BUKA,Bukalapak.com Tbk.,Consumer Cyclical,Internet Retail,2026-06-30,TTM-gabungan,IDR,2026-08-10,91833653260.0,20.2199,264.5843,,7414665894000.0,1856863630000.0,2001979029000.0,1909403929000.0,7.63,-0.35,25.04,7.76,7.52,105978572000.0,14249892611000.0,-14143914039000.0,24879814690000.0,24297741443000.0,0.0,-7.06,42.87,42.25,85.84,351855346000.0,-21273528000.0,330581818000.0,0.19,0.0,11.4,-456.9,21.6,16.6,1.0,-10.95
CPIN,Charoen Pokphand Indonesia T,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-08-10,16398000000.0,454.4337,2128.1364,180.0,77061799000000.0,7451803000000.0,10742932000000.0,10441748000000.0,19.01,13.12,9.67,22.34,15.5,9848829000000.0,5368132000000.0,4070467000000.0,52380933000000.0,34897180000000.0,0.28,0.38,2.68,0.77,23.98,5366489000000.0,-2025137000000.0,3341352000000.0,0.72,39.65,10.0,-26.5,7.5,24.4,2.0,0.0
ESSA,ESSA Industries Indonesia Tb,Basic Materials,Chemicals,2026-03-31,TTM-gabungan,USD,2026-08-10,17226975700.0,52.5086,479.8921,52.0,5695573157890.0,904564789755.0,1702215990035.0,1641967733505.0,37.5,28.19,15.88,11.55,7.4,2389818860.0,2923384559370.0,-2920994740510.0,12129905119860.0,8267089986320.0,0.0,-1.72,11.46,9.57,123.59,2330761391420.0,-139729488305.0,2191031903115.0,2.58,20.23,33.6,61.5,-26.1,-33.8,1.0,0.0
EXCL,XLSMART Telecom Sejahtera Tb,Communication Services,Telecom Services,2026-03-31,TTM,IDR,2026-08-10,18199862451.0,-303.7448,1601.2602,159.0,45664124000000.0,-5528113000000.0,17992707000000.0,-2556252000000.0,59.4,-3.69,-12.11,-20.3,-5.62,61286049000000.0,2701618000000.0,18415894000000.0,111850228000000.0,29142715000000.0,2.1,1.02,0.4,0.4,-0.62,20025876000000.0,-9861198000000.0,10164678000000.0,-3.62,38.27,37.4,-286.4,13.4,,2.0,39.23
GGRM,Gudang Garam Tbk,Consumer Defensive,Tobacco,2026-06-30,TTM-gabungan,IDR,2026-08-10,1924088000.0,2347.547,33264.912,800.0,86178654000000.0,4516887000000.0,6967555000000.0,6220225000000.0,12.98,7.21,5.24,7.17,5.57,761931000000.0,8719955000000.0,1235157000000.0,77787029000000.0,64004618000000.0,0.01,0.18,3.64,1.09,98.14,12227339000000.0,-1766701000000.0,10460638000000.0,2.71,34.86,-8.7,46466.0,-10.5,-17.6,2.0,0.0
GOTO,GoTo Gojek Tokopedia Tbk.,Technology,Software - Infrastructure,2026-06-30,TTM-gabungan,IDR,2026-08-10,1066092420829.0,0.0017,30.3892,,20757261000000.0,1850000000.0,1564676000000.0,774536000000.0,59.98,2.77,0.01,0.01,0.0,8220598000000.0,21420909000000.0,-13200311000000.0,47476833000000.0,32397681000000.0,0.25,-8.44,2.61,2.61,1.16,2643487000000.0,-513511000000.0,2129976000000.0,1428.91,0.0,33.6,223.4,17.3,,2.0,1.03
HRUM,Harum Energy Tbk.,Basic Materials,Other Industrial Metals & Mining,2026-06-30,TTM-gabungan,USD,2026-08-10,13148556400.0,59.6713,1299.9911,,31502506372040.0,784591900070.0,3509948974070.0,3518394881430.0,18.76,13.29,2.49,4.75,1.32,10221771159820.0,2574793760330.0,7646977399490.0,68035004916835.0,17093006773645.0,0.6,2.18,1.85,1.32,5.11,3892793944105.0,-10534884880795.0,-6642090936690.0,4.96,0.0,145.6,394.8,14.0,-50.1,0.0,-0.77
ICBP,Indofood CBP Sukses Makmur T,Consumer Defensive,Packaged Foods,2026-06-30,TTM-gabungan,IDR,2026-08-10,11661908000.0,633.8031,4524.6466,265.0,79113383000000.0,7391353000000.0,14200486000000.0,13844990000000.0,34.89,20.41,9.34,14.7,5.38,50171691000000.0,33537992000000.0,16383859000000.0,143985924000000.0,52766012000000.0,0.95,1.15,3.58,3.1,6.23,12933186000000.0,-2330029000000.0,10603157000000.0,1.75,41.86,-0.2,-57.5,4.9,26.2,3.0,0.0
INCO,Vale Indonesia Tbk.,Basic Materials,Other Industrial Metals & Mining,2026-06-30,TTM-gabungan,USD,2026-08-10,10539784534.0,256.8511,4772.2889,77.9,19657398860000.0,2707155055000.0,3495992115000.0,3495992115000.0,21.06,13.45,13.77,5.45,4.64,28104230000.0,1965910430000.0,-1937806200000.0,60105177220000.0,50298897220000.0,0.0,-0.55,1.58,0.77,37.49,3196918340000.0,-9168942860000.0,-5972024520000.0,1.18,29.54,40.6,178.8,-5.7,-27.6,2.0,0.0
INDF,Indofood Sukses Makmur Tbk,Consumer Defensive,Packaged Foods,2026-06-30,TTM-gabungan,IDR,2026-08-10,8780426500.0,1089.9976,8730.9514,290.0,129175490000000.0,9570644000000.0,23341801000000.0,22627674000000.0,33.09,19.07,7.41,13.27,4.35,79417117000000.0,54125470000000.0,25033048000000.0,231245059000000.0,76661477000000.0,1.04,1.07,2.03,1.59,5.54,20143401000000.0,-4351748000000.0,15791653000000.0,2.1,26.61,0.3,-35.2,3.7,18.9,3.0,0.0
INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials,Paper & Paper Products,2026-06-30,TTM,USD,2026-08-10,5470982941.0,2149.4905,23353.9561,75.0,58766406820000.0,11759825990000.0,18922212100000.0,18811447325000.0,32.78,22.13,20.01,9.63,5.18,92152775330000.0,12913467325000.0,79010015150000.0,235373459200000.0,127769095465000.0,0.72,4.18,2.73,2.53,3.61,14182137035000.0,-14252717380000.0,-70580345000.0,1.21,3.46,13.2,816.5,-7.5,-19.1,2.0,0.0
INTP,Indocement Tunggal Prakarsa ,Basic Materials,Building Materials,2026-06-30,TTM-gabungan,IDR,2026-08-10,3283724199.0,713.7219,6732.802,468.0,18149552000000.0,2343666000000.0,3303385000000.0,3008341000000.0,32.71,11.18,12.91,10.55,7.77,2701245000000.0,3911459000000.0,-1210214000000.0,30231555000000.0,22108665000000.0,0.12,-0.37,1.47,1.09,18.58,3681716000000.0,-990926000000.0,2690790000000.0,1.57,66.26,15.9,77.7,2.8,6.9,3.0,-1.98
ISAT,Indosat Tbk,Communication Services,Telecom Services,2026-06-30,TTM-gabungan,IDR,2026-08-10,32250810957.0,232.0361,1148.8036,111.0,60061700000000.0,7483353000000.0,30148848000000.0,13983574000000.0,58.56,20.89,12.46,20.83,5.94,70718320000000.0,15781626000000.0,2724939000000.0,138306488000000.0,37049849000000.0,1.91,0.09,0.67,0.66,3.35,23738631000000.0,-13626061000000.0,10112570000000.0,3.17,47.84,13.7,114.9,6.5,5.3,2.0,0.0
ITMG,Indo Tambangraya Megah Tbk,Energy,Thermal Coal,2026-03-31,TTM,USD,2026-08-10,1114899100.0,2878.4613,30550.184,1730.0,33685424520000.0,3209193955000.0,5882435625000.0,5194681415000.0,25.33,13.83,9.53,9.25,7.44,1448842340000.0,13273457285000.0,-11824614945000.0,42724149930000.0,34060372610000.0,0.04,-2.01,3.61,3.36,32.44,5413830455000.0,-1729973465000.0,3683856990000.0,1.69,111.62,3.1,-15.8,-19.7,-45.8,0.0,-1.33
JSMR,Jasa Marga (Persero) Tbk,Industrials,Infrastructure Operations,2026-03-31,TTM-gabungan,IDR,2026-08-10,7257871200.0,483.1367,5108.2089,156.23,29318964000000.0,3506544000000.0,10210450000000.0,10093554000000.0,41.07,32.06,11.96,9.86,2.27,75337011000000.0,5812506000000.0,69352755000000.0,160538245000000.0,37074722000000.0,2.03,6.79,0.58,0.57,2.78,6257647000000.0,-11971039000000.0,-5713392000000.0,1.78,32.35,-22.7,-37.3,21.7,10.0,1.0,0.0
KLBF,Kalbe Farma Tbk,Healthcare,Drug Manufacturers - General,2026-06-30,TTM-gabungan,IDR,2026-08-10,45248860110.0,79.7705,537.6733,20.0,37781234787212.0,3609522416132.0,5064445900399.0,4726913742838.0,37.97,12.15,9.55,15.09,11.34,825354000000.0,4831831000000.0,-4006477000000.0,33078098000000.0,24329106000000.0,0.03,-0.79,3.15,1.96,176.03,3224023111714.0,-930776206287.0,2293246905427.0,0.89,25.13,11.5,-17.3,6.9,2.7,2.0,-0.87
